country,year,series,value
Afghanistan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Afghanistan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),5.82
Afghanistan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),46.41
Afghanistan,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),46.41
Albania,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),24.36
Albania,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.33
Albania,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),48.65
Albania,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),48.65
Algeria,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),33.59
Algeria,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.59
Algeria,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.49
Algeria,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),43.49
Andorra,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),2.25
Andorra,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),2.25
Andorra,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),26.2
Andorra,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),26.2
Angola,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),27.01
Angola,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),27.01
Angola,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),31.34
Angola,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),31.34
Antigua & Barbuda,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),8.69
Antigua & Barbuda,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),8.69
Antigua & Barbuda,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),14.01
Antigua & Barbuda,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),14.01
Argentina,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),27.8
Argentina,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),29.89
Argentina,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),32.11
Argentina,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),32.32
Armenia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),15.02
Armenia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),21.55
Armenia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),22.57
Armenia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),22.57
Australia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),37.53
Australia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),45.6
Australia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),57.31
Australia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),57.31
Austria,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),61.13
Austria,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),65.44
Austria,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),67.94
Austria,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),67.94
Azerbaijan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),28.93
Azerbaijan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),36.09
Azerbaijan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),36.61
Azerbaijan,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),36.61
"Bahamas, The",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),11.09
"Bahamas, The",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),11.15
"Bahamas, The",2021,Important sites for terrestrial biodiversity protected (% of total sites protected),29.76
"Bahamas, The",2023,Important sites for terrestrial biodiversity protected (% of total sites protected),29.76
Bahrain,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Bahrain,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Bahrain,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Bahrain,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Bangladesh,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),31.87
Bangladesh,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.45
Bangladesh,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),42.12
Bangladesh,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),42.12
Barbados,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),1.75
Barbados,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),1.75
Barbados,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),1.75
Barbados,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),1.75
Belarus,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),76.34
Belarus,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),76.34
Belarus,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),87.88
Belarus,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),87.88
Belgium,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),64.81
Belgium,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),64.9
Belgium,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),75.83
Belgium,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),75.83
Belize,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),41.07
Belize,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.09
Belize,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.26
Belize,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),43.26
Benin,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),66.66
Benin,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),66.66
Benin,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),66.66
Benin,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),66.66
Bhutan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),42.59
Bhutan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),45.41
Bhutan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),46.97
Bhutan,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),46.97
Bolivia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),43.89
Bolivia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),45.45
Bolivia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),45.45
Bolivia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),45.45
Bosnia & Herzegovina,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),10.69
Bosnia & Herzegovina,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),28.87
Bosnia & Herzegovina,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),37.14
Bosnia & Herzegovina,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),37.14
Botswana,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),51.09
Botswana,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),51.09
Botswana,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),51.09
Botswana,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),51.09
Brazil,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),34.92
Brazil,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.17
Brazil,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),45.45
Brazil,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),45.65
Brunei,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),41.66
Brunei,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.66
Brunei,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),41.66
Brunei,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),41.66
Bulgaria,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),27.8
Bulgaria,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),98.32
Bulgaria,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),99.28
Bulgaria,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),99.28
Burkina Faso,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),71.02
Burkina Faso,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),78.8
Burkina Faso,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),78.8
Burkina Faso,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),78.8
Burundi,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),62.71
Burundi,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),62.71
Burundi,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),62.71
Burundi,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),62.71
Cabo Verde,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),12.03
Cabo Verde,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),12.03
Cabo Verde,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),12.03
Cabo Verde,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),12.03
Cambodia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),24.7
Cambodia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),24.7
Cambodia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),54.54
Cambodia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),54.54
Cameroon,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),32.51
Cameroon,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),35.0
Cameroon,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),35.47
Cameroon,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),35.47
Canada,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),20.7
Canada,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),25.01
Canada,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),31.31
Canada,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),31.47
Central African Rep,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),74.24
Central African Rep,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),74.24
Central African Rep,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),74.24
Central African Rep,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),74.24
Chad,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),67.31
Chad,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),67.31
Chad,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),67.31
Chad,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),67.31
Chile,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),24.93
Chile,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),27.01
Chile,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),32.54
Chile,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),33.29
China,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),6.41
China,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),8.59
China,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),10.07
China,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),10.07
Colombia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),27.24
Colombia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),38.23
Colombia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),58.11
Colombia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),58.11
Comoros,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Comoros,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),57.4
Comoros,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),57.4
Comoros,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),57.4
"Congo, Rep Of The",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),46.38
"Congo, Rep Of The",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),58.34
"Congo, Rep Of The",2021,Important sites for terrestrial biodiversity protected (% of total sites protected),72.01
"Congo, Rep Of The",2023,Important sites for terrestrial biodiversity protected (% of total sites protected),72.01
Costa Rica,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),41.61
Costa Rica,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),42.11
Costa Rica,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),42.24
Costa Rica,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),42.24
Cote D'Ivoire,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),73.78
Cote D'Ivoire,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),73.78
Cote D'Ivoire,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),73.78
Cote D'Ivoire,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),73.78
Croatia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),21.91
Croatia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),24.75
Croatia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),82.02
Croatia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),82.02
Cuba,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),29.46
Cuba,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),51.24
Cuba,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),54.48
Cuba,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),54.48
Cyprus,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),19.75
Cyprus,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),58.93
Cyprus,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),74.29
Cyprus,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),74.29
Czechia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),88.36
Czechia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),94.14
Czechia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),94.78
Czechia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),94.78
"Korea, North",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
"Korea, North",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
"Korea, North",2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
"Korea, North",2023,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
"Congo, Dem Rep Of The",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),41.55
"Congo, Dem Rep Of The",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),48.21
"Congo, Dem Rep Of The",2021,Important sites for terrestrial biodiversity protected (% of total sites protected),50.47
"Congo, Dem Rep Of The",2023,Important sites for terrestrial biodiversity protected (% of total sites protected),50.47
Denmark,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),84.31
Denmark,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),86.01
Denmark,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),87.23
Denmark,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),87.23
Djibouti,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Djibouti,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Djibouti,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0.81
Djibouti,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),0.81
Dominica,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),33.33
Dominica,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),33.33
Dominica,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),33.33
Dominica,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),33.33
Dominican Republic,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),72.04
Dominican Republic,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),76.55
Dominican Republic,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),76.55
Dominican Republic,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),76.55
Ecuador,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),20.85
Ecuador,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),23.15
Ecuador,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),28.37
Ecuador,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),28.51
Egypt,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),36.34
Egypt,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),38.75
Egypt,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),38.75
Egypt,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),38.75
El Salvador,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),10.02
El Salvador,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),22.82
El Salvador,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),28.05
El Salvador,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),28.05
Equatorial Guinea,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),100.0
Equatorial Guinea,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),100.0
Equatorial Guinea,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),100.0
Equatorial Guinea,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),100.0
Eritrea,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Eritrea,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Eritrea,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Eritrea,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Estonia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),94.74
Estonia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),94.75
Estonia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),94.89
Estonia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),94.89
Ethiopia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),12.87
Ethiopia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),13.49
Ethiopia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),16.76
Ethiopia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),16.76
Fiji,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),7.58
Fiji,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),11.18
Fiji,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),11.18
Fiji,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),11.18
Finland,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),68.51
Finland,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),68.66
Finland,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),71.88
Finland,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),71.88
France,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),38.24
France,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),49.46
France,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),81.07
